SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR
2079,Dynamic Laboratories (Unani),Amecure,Liquid,Sharbat Nisa,U-170-A-004
2080,Dynamic Laboratories (Unani),Dynaseb,Liquid,Sharbat Seb,U-170-A-005
2081,Dynamic Laboratories (Unani),Dynazur,Liquid,Sharbat Buzuri,U-170-A-006
2082,Dynamic Laboratories (Unani),Dynamin,Liquid,Sharbat Hazmina,U-170-A-007
2083,Dynamic Laboratories (Unani),Afnel,Liquid,Sharbat Misali,U-170-A-008
2084,East Bengal Unani Labortories,Kutur Ramad,Liquid,Qutoor Ramad,U-059-A-002
2085,East Bengal Unani Labortories,Habbe Jalinus,Tablet,Habb-e Jalinoos,U-059-A-003
2086,East Bengal Unani Labortories,Mviton,Liquid,Sharbat Seb,U-059-A-004
2087,East Bengal Unani Labortories,Dipsia,Liquid,Sharbat Buzuri,U-059-A-005
2088,East Bengal Unani Labortories,Hepadis,Liquid,Sharbat Chylosin,U-059-A-006
2089,East Bengal Unani Labortories,Muco,Liquid,Sharbat Ejaz,U-059-A-007
2090,East Bengal Unani Labortories,Sharbat Hazim,Liquid,Arq Hazim,U-059-A-008
2091,East Bengal Unani Labortories,Sharbat Karmina,Liquid,Sharbat Karmina,U-059-A-009
2092,East Bengal Unani Labortories,Nubil,Liquid,Sharbat Niswan,U-059-A-010
2093,East Bengal Unani Labortories,Kirmin,Liquid,Sharbat Kirmin,U-059-A-011
2094,East Bengal Unani Labortories,Jingeat,Liquid,Sharbat Jinsin,U-059-A-012
2095,East Bengal Unani Labortories,Ebtok,Liquid,Sharbat Atfal,U-059-A-013
2096,East Bengal Unani Labortories,Leucost,Capsule,Qurs Rehmin,U-059-A-014
2097,East Bengal Unani Labortories,Rheupit,Capsule,Habb-e Suranjan,U-059-A-15
2098,East Bengal Unani Labortories,Fivast,Capsule,Habb-e Shefa,U-059-A-016
2099,East Bengal Unani Labortories,Maiden,Capsule,Habb-e Mudir,U-059-A-017
2100,East Bengal Unani Labortories,Termist,Capsule,Habb-e Bawaseer Badi,U-059-A-018
2101,East Bengal Unani Labortories,Ebertin,Capsule,Habb-e Mumsik,U-059-A-019
2102,East Bengal Unani Labortories,Hymen,Capsule,Habb-e Ambar Momiyaee,U-059-A-020
2103,East Bengal Unani Labortories,Dyes,Capsule,Qurs Pechish,U-059-A-021
2104,East Bengal Unani Labortories,Xpert,Capsule,Habb-e Nishat,U-059-A-022
2105,Eastern Pharma (Unani),Arq Badian,Liquid,Arq Badiyan,U-149-A-002
2106,Eastern Pharma (Unani),Arq Nankha,Liquid,Arq Nankha,U-149-A-003
2107,Eastern Pharma (Unani),Sharbat Faulad,Liquid,Sharbat Faulad,U-149-A-004
2108,Eastern Pharma (Unani),Sharbat Neelofar,Liquid,Sharbat Neelofar,U-149-A-005
2109,Eastern Pharma (Unani),Sharbat Nazla,Liquid,Sharbat Nazla,U-149-A-006
2110,Eastern Pharma (Unani),Sharbat Deenar,Liquid,Sharbat Deenar,U-149-A-007
2111,Eastern Pharma (Unani),Sharbat Ejaz,Liquid,Sharbat Ejaz,U-149-A-008
2112,Eastern Pharma (Unani),Arq Ajeeb,Liquid,Arq Ajeeb,U-149-A-009
2113,Eastern Pharma (Unani),Majoon Suparipak,Semi-Solid,Majoon Suparipak,U-149-A-010
2114,Eastern Pharma (Unani),Sharbat Belgiri,Liquid,Sharbat Belgiri,U-149-A-011
2115,Eastern Pharma (Unani),Sharbat Hazmina,Liquid,Sharbat Hazmina,U-149-A-012
2116,Eastern Pharma (Unani),Sharbat Seb,Liquid,Sharbat Seb,U-149-A-013
2117,Eastern Pharma (Unani),Marham Ajeeb,Ointment,Marham Ajeeb,U-149-A-014
2118,Eastland Laboratories (Unani),Estaplex,Liquid,Sharbat Seb,U-267-A-008
2119,Eastland Laboratories (Unani),Estakuli,Liquid,Sharbat Santara,U-267-A-009
2120,Eastland Laboratories (Unani),E-Hazmina,Liquid,Sharbat Hazmina,U-267-A-010
2121,Eastland Laboratories (Unani),Estferon,Liquid,Sharbat Faulad,U-267-A-011
2122,Eastland Laboratories (Unani),Hormoest,Liquid,Sharbat Jinsin,U-267-A-012
2123,Eastland Laboratories (Unani),Estavas,Liquid,Sharbat Ejaz,U-267-A-013
2124,Eastland Laboratories (Unani),E-Bel,Liquid,Sharbat Belgiri,U-267-A-014
2125,Eastland Laboratories (Unani),E-Lahmina,Liquid,Arq Lahmina,U-267-A-001
2126,Eastland Laboratories (Unani),Marham Aramin,Ointment,Marham Aramin,U-267-A-002
2127,Eastland Laboratories (Unani),E-Dasmol,Liquid,Arq Dashmool,U-267-A-003
2128,Eastland Laboratories (Unani),Qurs Pech,Tablet,Qurs Pechish,U-267-A-004
2129,Eastland Laboratories (Unani),Qurs Hazmina,Tablet,Qurs Hazmina,U-267-A-005
2130,Eastland Laboratories (Unani),Qurs Infuza,Tablet,Qurs Infuza,U-267-A-006
2131,Eastland Laboratories (Unani),Qurs Rhubarb,Tablet,Qurs Rhubarb,U-267-A-007
2132,Eco Laboratories (unani),Zipep,Liquid,Sharbat Zanjabeel,U-95-A-001
2133,Eco Laboratories (unani),Ecofen,Liquid,Sharbat Arzani,U-95-A-002
2134,Eco Laboratories (unani),Gentovit,Liquid,Sharbat Mavez,U-95-A-003
2135,Eco Laboratories (unani),Falsa,Liquid,Sharbat Falsa,U-95-A-004
2136,Eco Laboratories (unani),Citrol,Liquid,Sharbat Anannas,U-95-A-005
2137,Eco Laboratories (unani),Ecomen,Liquid,Sharbat Mudir,U-95-A-006
2138,Eco Laboratories (unani),Ecopar,Liquid,Arq Bukhar,U-95-A-007
2139,Eco Laboratories (unani),Silatab,Capsule,Qurs Salajeet,U-95-A-008
2140,Eco Laboratories (unani),Ecocid,Liquid,Humuzin,U-95-A-010
2141,Eco Laboratories (unani),Didysen,Liquid,Sharbat Belgiri,U-95-A-011
2142,Eco Laboratories (unani),Ecolac,Liquid,Sharbat Chylosin,U-95-A-012
2143,Eco Laboratories (unani),Noache,Capsule,Habb-e Suranjan,U-95-A-015
2144,Eco Laboratories (unani),Nogas,Capsule,Habb-e Papita,U-95-A-014
2145,Eco Laboratories (unani),Calmo-E,Capsule,Kushta Khare Mohra,U-95-A-016
2146,Eco Laboratories (unani),Ginsin Eco,Liquid,Sharbat Jinsin,U-95-A-017
2147,Eco Laboratories (unani),Puritic,Liquid,Sharbat Musaffi,U-95-A-018
2148,Eco Laboratories (unani),Neelofar,Liquid,Sharbat Neelofar,U-95-A-019
2149,Eco Laboratories (unani),Tulsi,Liquid,Sharbat Tulsi,U-95-A-020
2150,Eco Laboratories (unani),Misali,Liquid,Sharbat Misali,U-95-A-021
2151,Eco Laboratories (unani),Faulad,Liquid,Sharbat Faulad,U-95-A-022
2152,Eco Laboratories (unani),Sharbat Seb,Liquid,Sharbat Seb,U-95-A-023
2153,Eco Laboratories (unani),Habe Nishat,Capsule,Habb-e Nishat,U-95-A-024
2154,Eco Laboratories (unani),Ziabit,Capsule,Qurs Ziabit,U-95-A-025
2155,Eco Laboratories (unani),Sofaid,Capsule,Kushta Abrak Sofaid,U-95-A-026
2156,Ema Unani Laboratories (Unani),Skinosef,Liquid,Sharbat Musaffi,U-19-A-015
2157,Ema Unani Laboratories (Unani),Digex-M,Liquid,Sharbat Zanjabeel,U-19-A-009
2158,Ema Unani Laboratories (Unani),Ema-Buzury,Liquid,Sharbat Buzuri,U-19-A-010
2159,Ema Unani Laboratories (Unani),Brainovit,Liquid,Sharbat Dimaghi,U-19-A-011
2160,Ema Unani Laboratories (Unani),Minsafe,Liquid,Sharbat Niswan,U-19-A-012
2161,Ema Unani Laboratories (Unani),Emaplex,Liquid,Sharbat Misali,U-19-A-013
2162,Ema Unani Laboratories (Unani),Ema-Jinsin,Liquid,Sharbat Jinsin,U-19-A-014
2163,Ema Unani Laboratories (Unani),Emalax,Capsule,Qurs Mulayin,U-19-A-016
2164,Ema Unani Laboratories (Unani),Jointcal,Capsule,Qurs Awja,U-19-A-017
2165,Ema Unani Laboratories (Unani),Azma-X,Tablet,Habb-e Sual,U-19-A-019
2166,Ema Unani Laboratories (Unani),Dysonex,Tablet,Qurs Pechish,U-19-A-020
2167,Ema Unani Laboratories (Unani),Sailex,Tablet,Qurs Sailan,U-19-A-018
2168,Ema Unani Laboratories (Unani),Nishat-RX,Tablet,Habb-e Nishat,U-19-A-021
2169,Ema Unani Laboratories (Unani),Emagass,Liquid,Arq Nankha,U-19-A-007
2170,Ema Unani Laboratories (Unani),Emagut,Liquid,Sharbat Tamarind,U-19-A-001
2171,Ema Unani Laboratories (Unani),Emaliv,Liquid,Sharbat Deenar,U-19-A-002
2172,Ema Unani Laboratories (Unani),Emabalm,Ointment,Marham Ajeeb,U-19-A-003
2173,Ema Unani Laboratories (Unani),Emafol,Liquid,Sharbat Faulad,U-19-A-004
2174,Ema Unani Laboratories (Unani),Emafit,Liquid,Arq Maul Lahm,U-19-A-005
2175,Ema Unani Laboratories (Unani),Ematone,Liquid,Arq Dashmool,U-19-A-006
2176,Ema Unani Laboratories (Unani),Emarex,Liquid,Sharbat Zoofa,U-19-A-008
2177,ETLAB Industries (Unani),Puralin,Capsule,Habb-e Musaffi,U-003-A-043
2178,ETLAB Industries (Unani),Catacof,Liquid,Sharbat Banafsha,U-003-A-052
2179,ETLAB Industries (Unani),ET-Vit Plus,Liquid,Sharbat Hayateen Murakkab,U-003-A-053
2180,ETLAB Industries (Unani),ET-Gold,Tablet,Habb-e Hayaeen Murakkab,U-003-A-054
2181,ETLAB Industries (Unani),Diabecon,Capsule,Qurs Ziabit,U-003-A-055
2182,ETLAB Industries (Unani),Prominavit,Capsule,Spirulina,U-003-A-056
2183,ETLAB Industries (Unani),Pinacon,Capsule,Habb-e Muqil,U-003-A-057
2184,ETLAB Industries (Unani),Fistapain,Malam,Marham Jadeed,U-003-A-058
2185,ETLAB Industries (Unani),Bresma,Capsule,Kushta Abrak Kalan,U-003-A-059
2186,ETLAB Industries (Unani),Reduce,Capsule,Habb-e Fishar,U-003-A-060
2187,ETLAB Industries (Unani),ET-ORS,Powder,Aab-e Namak Shireen,U-003-A-061
2188,ETLAB Industries (Unani),Livetab,Tablet,Habb-e Kabid Naushadri,U-003-A-001
2189,ETLAB Industries (Unani),Tretal,Liquid,Arq Ajeeb,U-003-A-002
2190,ETLAB Industries (Unani),Molex,Tablet,Qurs Mulayin,U-003-A-008
2191,ETLAB Industries (Unani),Majon Suparipak,Semi-Solid,Majoon Suparipak,U-003-A-009
2192,ETLAB Industries (Unani),Arq Nankha,Liquid,Arq Nankha,U-003-A-010
2193,ETLAB Industries (Unani),Sharbat Nilufar,Liquid,Sharbat Neelofar,U-003-A-012
2194,ETLAB Industries (Unani),Sharbat Buzuri,Liquid,Sharbat Buzuri,U-003-A-014
2195,ETLAB Industries (Unani),Livecon,Liquid,Sharbat Deenar,U-003-A-015
2196,ETLAB Industries (Unani),Cubasil,Tablet,Habb-e Sual,U-003-A-016
2197,ETLAB Industries (Unani),Coftol,Liquid,Sharbat Sadar,U-003-A-017
2198,ETLAB Industries (Unani),Pural,Liquid,Sharbat Musaffi,U-003-A-018
2199,ETLAB Industries (Unani),Nesetab,Tablet,Habb-e Nishat,U-003-A-019
2200,ETLAB Industries (Unani),Megutab,Tablet,Habb-e Mudir,U-003-A-020
2201,ETLAB Industries (Unani),Iroplus,Liquid,Sharbat Faulad,U-003-A-021
2202,ETLAB Industries (Unani),Dermik,Ointment,Marham Kharish,U-003-A-022
2203,ETLAB Industries (Unani),Eumutab,Tablet,Habb-e Suranjan,U-003-A-023
2204,ETLAB Industries (Unani),Nimak Solaimani,Powder,Nimak Solaimani,U-003-A-024
2205,ETLAB Industries (Unani),Hazmica,Tablet,Qurs Hazmol,U-003-A-025
2206,ETLAB Industries (Unani),Jowarish Kamuni,Semi-Solid,Jowarish Kamuni,U-003-A-026
2207,ETLAB Industries (Unani),Vitalet,Liquid,Sharbat Seb,U-003-A-027
2208,ETLAB Industries (Unani),Etrub,Ointment,Marham Aramin,U-003-A-028
2209,ETLAB Industries (Unani),Dironil,Tablet,Habb-e Ral,U-003-A-029
2210,ETLAB Industries (Unani),Habbe Suzak,Tablet,Habb-e Suzak,U-003-A-030
2211,ETLAB Industries (Unani),Stomalin,Liquid,Sharbat Tiflin,U-003-A-031
2212,ETLAB Industries (Unani),Dystop,Liquid,Sharbat Belgiri,U-003-A-032
2213,ETLAB Industries (Unani),Lecorin,Liquid,Sharbat Sailan,U-003-A-033
2214,ETLAB Industries (Unani),Digestol,Liquid,Sharbat Zanjabeel,U-003-A-034
2215,ETLAB Industries (Unani),Citrus,Liquid,Sharbat Santara,U-003-A-035
2216,ETLAB Industries (Unani),Flutab,Tablet,Qurs Infuza,U-003-A-036
2217,ETLAB Industries (Unani),Zeneus,Liquid,Sharbat Jinsin,U-003-A-037
2218,ETLAB Industries (Unani),Arq Taskin,Liquid,Arq Taskeen,U-003-A-038
2219,ETLAB Industries (Unani),Peptimax,Liquid,Sufoof Humuzin,U-003-A-039
2220,ETLAB Industries (Unani),Spark,Powder,Sanoon Babla,U-003-A-040
2221,ETLAB Industries (Unani),Termin,Tablet,Qurs Pechish,U-003-A-041
2222,ETLAB Industries (Unani),Marix,Tablet,Qurs Tamarixin,U-003-A-042
2223,ETLAB Industries (Unani),ET-Max,Tablet,Habb-e Musaffi,U-003-A-043
2224,ETLAB Industries (Unani),Garlet,Tablet,Qurs Garlitab,U-003-A-044
2225,ETLAB Industries (Unani),Salvia,Tablet,Habb-e Ambar Momiyaee,U-003-A-045
2226,ETLAB Industries (Unani),Ancin,Tablet,Tila Mushki,U-003-A-046
2227,ETLAB Industries (Unani),Rubiol,Liquid,Rowghan Surkh,U-003-A-047
2228,ETLAB Industries (Unani),ET-Sun,Tablet,Sanoon Pyorin,U-003-A-048
2229,ETLAB Industries (Unani),ET Ron,Tablet,Kushta Faulad Sard,U-003-A-049
2230,ETLAB Industries (Unani),Areca,Tablet,Qurs Rehmin,U-003-A-050
2231,ETLAB Industries (Unani),ET-Cus,Tablet,Qurs Muqavvi Khas,U-003-A-051
2232,Extol Unani Laboratories,Ex-vit,Liquid,Sharbat Seb,U-300-A-1
2233,Extol Unani Laboratories,Hormonex,Liquid,Sharbat Jinsin,U-300-A-2
2234,Extol Unani Laboratories,Sharbat Faulad,Liquid,Sharbat Faulad,U-300-A-3
2235,Extol Unani Laboratories,Exhep,Liquid,Sharbat Deenar,U-300-A-4
2236,Extol Unani Laboratories,Bexfo,Liquid,Sharbat Musaffi,U-300-A-5
2237,Extol Unani Laboratories,Adhomex,Liquid,Sharbat Arzani,U-300-A-6
2238,Extol Unani Laboratories,Ex-Wan,Liquid,Sharbat Niswan,U-300-A-7
2239,Extol Unani Laboratories,Reu-7,Capsule,Qurs Awja,U-300-A-8
2240,Extol Unani Laboratories,Nixtra,Tablet,Habb-e Nishat,U-300-A-9
2241,Extol Unani Laboratories,Vigex,Capsule,Habb-e Mumsik,U-300-A-10
2242,Extol Unani Laboratories,Dira-Ex,Liquid,Sharbat Belgiri,U-300-A-11
2243,Extol Unani Laboratories,Ex-Buzuri,Liquid,Sharbat Buzuri,U-300-A-12
2244,Extol Unani Laboratories,Hazmi-Ex,Liquid,Sharbat Hazmina,U-300-A-13
2245,Extol Unani Laboratories,Nedol,Tablet,Kushta Sadaf,U-300-A-15
2246,Extol Unani Laboratories,Croex,Tablet,Qurs Muqavvi Khas,U-300-A-16
2247,Extol Unani Laboratories,Spajeet,Tablet,Qurs Salajeet,U-300-A-17
2248,Extol Unani Laboratories,Monex,Tablet,Habb-e Munish,U-300-A-18
2249,Extol Unani Laboratories,Momex,Tablet,Habb-e Ambar Momiyaee,U-300-A-19
2250,Extol Unani Laboratories,Ammi,Tablet,Qurs Riahin,U-300-A-20
2251,F-Sons Laboratories (Unani),Sharbat Vasac,Liquid,Sharbat Vasac,U-127-A-044
2252,F-Sons Laboratories (Unani),Habbe Ral,Tablet,Habb-e Ral,U-127-A-045
2253,F-Sons Laboratories (Unani),Kushta Khare Mohra,Tablet,Kushta Khare Mohra,U-127-A-046
2254,F-Sons Laboratories (Unani),Habbe Helteet,Tablet,Habb-e Helteet,U-127-A-047
2255,F-Sons Laboratories (Unani),F.Sozin,Semi-Solid,Jowarish Jalinoos,U-025-A-001
2256,F-Sons Laboratories (Unani),Cidral-F,Semi-Solid,Jowarish Kamuni,U-025-A-002
2257,F-Sons Laboratories (Unani),F-Soron,Liquid,Sharbat Faulad,U-025-A-003
2258,F-Sons Laboratories (Unani),Hazmi-F,Liquid,Sharbat Kabedi,U-025-A-004
2259,F-Sons Laboratories (Unani),Kesh Ratno,Oil (Liquid),Rowghan Bhangra / Bhringraj Oil,U-25-A-031
2260,F-Sons Laboratories (Unani),Skinoson,Liquid,Sharbat Musaffi,U-25-A-032
2261,F-Sons Laboratories (Unani),Dermaclean,Malam,Marham Mudammil,U-25-A-033
2262,F-Sons Laboratories (Unani),Zincsun,Liquid,Sharbat Jist,U-25-A-034
2263,F-Sons Laboratories (Unani),Sinovit,Liquid,Sharbat Dimaghi,U-25-A-035
2264,F-Sons Laboratories (Unani),Vital Force,Liquid,Sharbat Hayateen Murakkab,U-25-A-036
2265,F-Sons Laboratories (Unani),Gajorvit,Liquid,Sharbat Gajar,U-25-A-037
2266,F-Sons Laboratories (Unani),Diabeto,Tablet,Qurs Ziabit,U-25-A-038
2267,F-Sons Laboratories (Unani),Neo-Tensin,Tablet,Habb-e Fishar,U-25-A-039
2268,F-Sons Laboratories (Unani),Cough Retlex,Tablet,Qurs Surfin,U-25-A-040
2269,F-Sons Laboratories (Unani),Memorysense,Tablet,Qurs Penitab,U-25-A-041
2270,F-Sons Laboratories (Unani),F-Sovit,Tablet,Habb-e Hayaeen Murakkab,U-25-A-042
2271,F-Sons Laboratories (Unani),F-Sovit-G,Tablet,Habb-e Hayateen Murakkab Jawahirdar,U-25-A-043
2272,F-Sons Laboratories (Unani),F.Socin,Liquid,Sharbat Seb,U-025-A-005
2273,F-Sons Laboratories (Unani),Urocole,Liquid,Sharbat Buzuri,U-025-A-006
2274,F-Sons Laboratories (Unani),F.Somina,Liquid,Sharbat Hazmina,U-025-A-007
2275,F-Sons Laboratories (Unani),Vitocom,Semi-Solid,Majoon Falasefa,U-025-A-008
2276,F-Sons Laboratories (Unani),Flatupep,Liquid,Arq Nankha,U-025-A-009
2277,F-Sons Laboratories (Unani),F-Soliv,Liquid,Sharbat Deenar,U-025-A-010
2278,F-Sons Laboratories (Unani),Dyrosaf,Liquid,Sharbat Belgiri,U-025-A-011
2279,F-Sons Laboratories (Unani),F.Solex,Liquid,Sharbat Gaozaban,U-025-A-012
2280,F-Sons Laboratories (Unani),Zymocurb,Liquid,Arq Hazim,U-025-A-013
2281,F-Sons Laboratories (Unani),Batbinash Oil,Oil (Liquid),Rowghan Surkh,U-025-A-014
2282,F-Sons Laboratories (Unani),Sunder Oil,Oil (Liquid),Tila Mushki,U-025-A-015
2283,F-Sons Laboratories (Unani),Liquerex,Liquid,Sharbat Mudir,U-025-A-016
2284,F-Sons Laboratories (Unani),F.Socaugh,Liquid,Sharbat Ejaz,U-025-A-017
2285,F-Sons Laboratories (Unani),Jin-F,Liquid,Sharbat Jinsin,U-025-A-018
2286,F-Sons Laboratories (Unani),Krimotax,Liquid,Sharbat Kirmin,U-025-A-019
2287,F-Sons Laboratories (Unani),F.Sogold,Capsule,Habb-e Jawaher,U-025-A-020
2288,F-Sons Laboratories (Unani),Sexoson,Capsule,Habb-e Mumsik,U-025-A-021
2289,F-Sons Laboratories (Unani),Stimutex,Capsule,Habb-e Ambar Momiyaee,U-025-A-022
2290,F-Sons Laboratories (Unani),Hormocap,Capsule,Habb-e Ambari,U-025-A-023
2291,F-Sons Laboratories (Unani),Liquemin,Capsule,Qurs Sailan,U-025-A-024
2292,F-Sons Laboratories (Unani),Antason,Tablet,Sufoof Humuzin,U-025-A-026
2293,F-Sons Laboratories (Unani),Paracol,Capsule,Habb-e Azaraqi,U-025-A-026
2294,F-Sons Laboratories (Unani),Calorin,Tablet,Qurs Salajeet,U-025-A-027
2295,F-Sons Laboratories (Unani),Metrolink,Tablet,Qurs Pechish,U-025-A-028
2296,F-Sons Laboratories (Unani),Remolin,Capsule,Habb-e Suranjan,U-025-A-029
2297,F-Sons Laboratories (Unani),Omika,Capsule,Qurs Mulayin,U-025-A-030
2298,F.H. Laboratories (Unani),Humuzin Suspension,Liquid,Humuzin,U-026-A-017
2299,F.H. Laboratories (Unani),Nishat-F,Tablet,Habb-e Nishat,U-026-A-022
2300,F.H. Laboratories (Unani),Saff,Tablet,Habb-e Musaffi,U-026-A-024
2301,F.H. Laboratories (Unani),F-Live,Tablet,Habb-e Jawaher,U-026-A-025
2302,F.H. Laboratories (Unani),F-Ome 2040,Tablet,Habb-e Baogola,U-026-A-026
2303,F.H. Laboratories (Unani),F.Flox,Tablet,Sufoof Khardal,U-026-A-028
2304,F.H. Laboratories (Unani),Famox,Tablet,Sufoof Khaksi,U-026-A-029
2305,F.H. Laboratories (Unani),Polyfex,Liquid,Sharbat Faulad,U-026-A-001
2306,F.H. Laboratories (Unani),Chichoring,Liquid,Sharbat Deenar,U-026-A-002
2307,F.H. Laboratories (Unani),Alpinan,Liquid,Arq Nankha,U-026-A-003
2308,F.H. Laboratories (Unani),Bilinil,Liquid,Sharbat Neelofar,U-026-A-004
2309,F.H. Laboratories (Unani),Belgari,Liquid,Sharbat Belgiri,U-026-A-005
2310,F.H. Laboratories (Unani),F-Plex,Liquid,Sharbat Seb,U-026-A-006
2311,F.H. Laboratories (Unani),Sharbat Gaozaban,Liquid,Sharbat Gaozaban,U-026-A-007
2312,F.H. Laboratories (Unani),F-Ben,Liquid,Sharbat Kirmin,U-026-A-008
2313,F.H. Laboratories (Unani),Onab-9,Liquid,Sharbat Sadar,U-026-A-009
2314,F.H. Laboratories (Unani),Sharbat Badian,Liquid,Sharbat Badian,U-026-A-010
2315,F.H. Laboratories (Unani),Lyrac,Liquid,Sharbat Niswan,U-026-A-011
2316,F.H. Laboratories (Unani),Saff,Liquid,Sharbat Musaffi,U-026-A-013
2317,F.H. Laboratories (Unani),Polyfol,Liquid,Sharbat Buzuri,U-026-A-014
2318,F.H. Laboratories (Unani),Allergic,Liquid,Sharbat Nazla,U-026-A-015
2319,F.H. Laboratories (Unani),Arq Bukhar,Liquid,Arq Bukhar,U-026-A-016
2320,F.H. Laboratories (Unani),Humuzin Suspension,Liquid,Sufoof Humuzin,U-026-A-017
2321,F.H. Laboratories (Unani),Polypep,Liquid,Arq Hazim,U-026-A-018
2322,F.H. Laboratories (Unani),Balarist-F,Liquid,Sharbat Tiflin,U-026-A-019
2323,F.H. Laboratories (Unani),Energin,Liquid,Sharbat Jinsin,U-026-A-020
2324,F.H. Laboratories (Unani),Marham Kharish,Ointment,Marham Kharish,U-026-A-021
2325,Fair Laboratories (Unani),Sharbat Seb,Liquid,Sharbat Seb,U-261-A-006
2326,Fair Laboratories (Unani),Sharbat Ejaz,Liquid,Sharbat Ejaz,U-261-A-003
2327,Fair Laboratories (Unani),Arq Dashmool,Liquid,Arq Dashmool,U-261-A-007
2328,Fair Laboratories (Unani),Sharbat Santara,Liquid,Sharbat Santara,U-261-A-005
2329,Fair Laboratories (Unani),Majoon Suparipak,Liquid,Majoon Suparipak,U-261-A-004
2330,Fair Laboratories (Unani),Sharbat Faulad,Liquid,Sharbat Faulad,U-261-A-002
2331,Fair Laboratories (Unani),Arq Nankha,Liquid,Arq Nankha,U-261-A-001
2332,Famous Laboratories (Unani),Fe-Pep,Tablet,Habb-e Kabid Naushadri,U-72-A-001
2333,Famous Laboratories (Unani),Femalio,Liquid,Arq Dashmool,U-72-A-002
2334,Famous Laboratories (Unani),Lecofem,Tablet,Qurs Sailan,U-72-A-003
2335,Famous Laboratories (Unani),Fama-Salt,Powder,Nimak Solaimani,U-72-A-004
2336,Famous Laboratories (Unani),Viquas,Tablet,Qurs Muqavvi Khas,U-72-A-005
2337,Famous Laboratories (Unani),Femacard,Tablet,Habb-e Fishar,U-72-A-007
2338,Famous Laboratories (Unani),Famafit,Tablet,Habb-e Helteet,U-72-A-008
2339,Famous Laboratories (Unani),Famagon,Tablet,Habb-e Suzak,U-72-A-009
2340,Famous Laboratories (Unani),Famarab,Ointment,Zimad Rahat,U-72-A-011
2341,Famous Laboratories (Unani),Famazin Plus,Liquid,Arq Nankha,U-72-A-012
2342,Famous Laboratories (Unani),Femaskin,Liquid,Sharbat Musaffi,U-72-A-013
2343,Famous Laboratories (Unani),Famabit,Tablet,Qurs Ziabit,U-72-A-014
2344,Famous Laboratories (Unani),Famapails,Tablet,Qurs Bandish,U-72-A-015
2345,Famous Laboratories (Unani),Femadis,Tablet,Habb-e Mudir,U-72-A-016
2346,Famous Laboratories (Unani),Femavit,Liquid,Sharbat Seb,U-72-A-019
2347,Famous Laboratories (Unani),Famacof,Liquid,Sharbat Vasac,U-72-A-020
2348,Famous Laboratories (Unani),Femagel,Liquid,Sharbat Belgiri,U-72-A-021
2349,Famous Laboratories (Unani),Femaferon,Liquid,Sharbat Faulad,U-72-A-022
2350,Famous Laboratories (Unani),Citrafem,Liquid,Sharbat Santara,U-72-A-023
2351,Famous Laboratories (Unani),Famamilk,Liquid,Sharbat Laxafig,U-72-A-024
2352,Famous Laboratories (Unani),Famaceta,Liquid,Sharbat Khaksi,U-72-A-025
2353,Famous Laboratories (Unani),Famagal,Liquid,Humuzin,U-72-A-026
2354,Famous Laboratories (Unani),Oftolin,Liquid,Sharbat Gaozaban,U-72-A-027
2355,Famous Laboratories (Unani),Deenar,Liquid,Sharbat Deenar,U-72-A-028
2356,Famous Laboratories (Unani),Fijin,Liquid,Sharbat Jinsin,U-72-A-029
2357,Famous Laboratories (Unani),Famatovit,Capsule,Habb-e Jawaher,U-72-A-036
2358,Famous Laboratories (Unani),CP-Garlic,Capsule,Qurs Garlitab,U-72-A-035
2359,Famous Laboratories (Unani),Nishat EP,Capsule,Habb-e Nishat,U-72-A-034
2360,Famous Laboratories (Unani),Fedoca,Capsule,Qurs Pechish,U-72-A-033
2361,Famous Laboratories (Unani),Famasun,Capsule,Kushta Khare Mohra,U-72-A-032
2362,Famous Laboratories (Unani),Famajoint,Capsule,Kushta Gowdanti,U-72-A-031
2363,Famous Laboratories (Unani),Famajan,Capsule,Habb-e Suranjan,U-72-A-030
2364,Fantasy Pharmaceuticals (Unani),Arq Hazem,Liquid,Arq Hazim,U-079-A-001
2365,Fantasy Pharmaceuticals (Unani),Se-Z,Liquid,Arq Maul Lahm,U-079-A-002
2366,Fantasy Pharmaceuticals (Unani),Denasy,Liquid,Sharbat Deenar,U-079-A-003
2367,Fantasy Pharmaceuticals (Unani),Favus,Liquid,Sharbat Ejaz,U-079-A-004
2368,Fantasy Pharmaceuticals (Unani),Fen Buzuri,Liquid,Sharbat Buzuri,U-079-A-005
2369,Fantasy Pharmaceuticals (Unani),Fen-Gestiv,Liquid,Arq Nankha,U-079-A-006
2370,Fantasy Pharmaceuticals (Unani),Zymosin,Liquid,Sharbat Belgiri,U-079-A-007
2371,Fantasy Pharmaceuticals (Unani),Jelas,Liquid,Sharbat Jinsin,U-079-A-008
2372,Fantasy Pharmaceuticals (Unani),Fantacid,Liquid,Sufoof Humuzin,U-079-A-009
2373,Fantasy Pharmaceuticals (Unani),Fentavit,Liquid,Sharbat Misali,U-079-A-010
2374,Fantasy Pharmaceuticals (Unani),Se-Zinc,Semi-Solid,Majoon Suparipak,U-079-A-011
2375,Fantasy Pharmaceuticals (Unani),Se-Cal,Tablet,Habb-e Suzak,U-79-A-012
